#Sun Feb  9 11:36:29 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               58              11               0               0
             106         -0.5918           7.802
             107          0.5714           8.931
             108          -2.061           8.251
             109           2.803           8.059
             110           1.626           8.781
             111           2.891           9.126
             112         -0.2925           8.525
             113          -2.878           7.392
             114          -1.347           8.921
             115         -0.2245           7.545
             116          -1.483           7.244
             117          -3.272           7.417
             118           1.313            7.32
             119           1.354            7.34
             120          -2.034           7.573
             121          -1.973           6.891
             122           1.388           7.051
             123           2.694           8.196
             124         -0.2993           7.142
             125           -1.81           10.57
             126          0.9864           8.274
             127         -0.4082           10.85
APV               58              11               0               7
               0           16.68           32.38
               1           10.75           28.57
               2        -0.02721           28.06
               3          0.5714           24.71
               4          0.5238           13.44
               5          -0.449           8.379
               6         -0.1905           9.898
               7            1.02           10.06
               8         0.04082           8.237
               9          -1.918           10.41
              10         -0.2109           7.988
              11           3.224           9.753
              12          -1.401           8.477
